,id,title,release_date,vote_average
5520,278,The Shawshank Redemption,1994-09-23,8.708
5521,238,The Godfather,1972-03-14,8.689
5522,240,The Godfather Part II,1974-12-20,8.6
5523,424,Schindler's List,1993-12-15,8.567
5524,389,12 Angry Men,1957-04-10,8.546
5525,129,Spirited Away,2001-07-20,8.5
5526,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5527,155,The Dark Knight,2008-07-16,8.519
5528,497,The Green Mile,1999-12-10,8.506
5529,496243,Parasite,2019-05-30,8.5
5530,680,Pulp Fiction,1994-09-10,8.488
5531,372058,Your Name.,2016-08-26,8.486
5532,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5533,13,Forrest Gump,1994-06-23,8.469
5534,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5535,346,Seven Samurai,1954-04-26,8.5
5536,769,GoodFellas,1990-09-12,8.458
5537,12477,Grave of the Fireflies,1988-04-16,8.453
5538,157336,Interstellar,2014-11-05,8.4
5539,637,Life Is Beautiful,1997-12-20,8.448
5540,278,The Shawshank Redemption,1994-09-23,8.708
5541,238,The Godfather,1972-03-14,8.689
5542,240,The Godfather Part II,1974-12-20,8.6
5543,424,Schindler's List,1993-12-15,8.567
5544,389,12 Angry Men,1957-04-10,8.546
5545,129,Spirited Away,2001-07-20,8.5
5546,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5547,155,The Dark Knight,2008-07-16,8.519
5548,497,The Green Mile,1999-12-10,8.506
5549,496243,Parasite,2019-05-30,8.5
5550,680,Pulp Fiction,1994-09-10,8.488
5551,372058,Your Name.,2016-08-26,8.486
5552,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5553,13,Forrest Gump,1994-06-23,8.469
5554,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5555,346,Seven Samurai,1954-04-26,8.5
5556,769,GoodFellas,1990-09-12,8.458
5557,12477,Grave of the Fireflies,1988-04-16,8.453
5558,157336,Interstellar,2014-11-05,8.4
5559,637,Life Is Beautiful,1997-12-20,8.448
5560,278,The Shawshank Redemption,1994-09-23,8.708
5561,238,The Godfather,1972-03-14,8.689
5562,240,The Godfather Part II,1974-12-20,8.6
5563,424,Schindler's List,1993-12-15,8.567
5564,389,12 Angry Men,1957-04-10,8.546
5565,129,Spirited Away,2001-07-20,8.5
5566,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
